calibration.groups,date.range.beg,date.range.end,chapin.prop,moc.prop,mancos.prop,mancoscor.prop,dolorescor.prop,mvcor.prop,chapinbw.prop,piedrabw.prop,cortezbw.prop,mancosbw.prop,mcelmobw.prop,mvbw.prop,abajo.prop,bluff.prop,deadmans.prop
1,700,799,0.517558331,0.482441669,0,0,0,0,0.959748428,0.040251572,0,0,0,0,0.906739812,0.093260188,0
2,800,879,0.257539493,0.719961704,0.022498803,0,0,0,0.0125,0.976785714,0.010714286,0,0,0,0.003861004,0.996138996,0
3,880,819,0.150173611,0.631944444,0.213541667,0.004340278,0,0,0.150793651,0.595238095,0.253968254,0,0,0,0.010810811,0.924324324,0.064864865
4,920,979,0.046923879,0.128258603,0.763295099,0.061522419,0,0,0.005834306,0.054842474,0.773628938,0.165694282,0,0,0.068825911,0.174089069,0.75708502
5,980,1019,0.078629032,0.008736559,0.129704301,0.61155914,0.166666667,0.004704301,0.000531444,0.007440213,0.252967228,0.724180691,0.014880425,0,0.081339713,0.177033493,0.741626794
6,1020,1059,0.00312989,0,0.00312989,0.395931142,0.333333333,0.264475743,0,0,0.008765778,0.749298738,0.228611501,0.013323983,0.117647059,0.058823529,0.823529412
7,1060,1099,0.00921659,0,0,0.02764977,0.633640553,0.329493088,0,0,0,0.459416864,0.468873128,0.071710008,0,0.142857143,0.857142857
8,1100,1179,0,0,0,0.017073171,0.287804878,0.695121951,0,0,0.000706714,0.236749117,0.392932862,0.369611307,0,0,0
9,1180,1249,0,0,0,0,0.25477707,0.74522293,0,0,0,0.141071429,0.167857143,0.691071429,0,0,0
10,1250,1290,0,0,0,0,0.110378188,0.889621812,0,0,0,0.01671123,0.09973262,0.88355615,0,0,0
