calibration.groups,date.range.beg,date.range.end,Chapin.Gray,Moccasin.Gray,Mancos.Gray,Mancos.Corrugated,Dolores.Corrugated,Mesa.Verde.Corrugated,Chapin.B.W,Piedra.B.W,Cortez.B.W,Mancos.B.W,McElmo.B.W,Mesa.Verde.B.W,Abajo.R.O,Bluff.B.R,Deadmans.B.R
1,700,799,2196,2047,0,0,0,0,763,32,0,0,0,0,2314,238,0
2,800,879,1076,3008,94,0,0,0,14,1094,12,0,0,0,4,1032,0
3,880,819,173,728,246,5,0,0,19,75,32,0,0,0,2,171,12
4,920,979,45,123,732,59,0,0,5,47,663,142,0,0,17,43,187
5,980,1019,117,13,193,910,248,7,3,42,1428,4088,84,0,17,37,155
6,1020,1059,2,0,2,253,213,169,0,0,25,2137,652,38,2,1,14
7,1060,1099,4,0,0,12,275,143,0,0,0,583,595,91,0,1,6
8,1100,1179,0,0,0,7,118,285,0,0,1,335,556,523,0,0,0
9,1180,1249,0,0,0,0,40,117,0,0,0,79,94,387,0,0,0
10,1250,1290,0,0,0,0,251,2023,0,0,0,125,746,6609,0,0,0
