Chapin.Gray,Moccasin.Gray,Mancos.Gray,Mancos.Corrugated,Dolores.Corrugated,Mesa.Verde.Corrugated,Chapin.B.W,Piedra.B.W,Cortez.B.W,Mancos.B.W,McElmo.B.W,Mesa.Verde.B.W,Abajo.R.O,Bluff.B.R,Deadmans.B.R
28.93280632,26.96969697,0,0,0,0,10.05270092,0.421607378,0,0,0,0,30.48748353,3.135704875,0
16.98768551,47.48973792,1.48405431,0,0,0,0.221029365,17.27186612,0.189453742,0,0,0,0.063151247,16.29302179,0
11.82501709,49.76076555,16.81476418,0.3417635,0,0,1.298701299,5.126452495,2.187286398,0,0,0,0.1367054,11.68831169,0.820232399
2.181289384,5.962190984,35.48230732,2.859912748,0,0,0.242365487,2.278235579,32.1376636,6.883179835,0,0,0.824042656,2.08434319,9.06446922
1.593571234,0.17706347,2.628711523,12.39444293,3.377826205,0.095341869,0.040860801,0.572051212,19.44974121,55.67965132,1.144102424,0,0.231544538,0.503949877,2.111141378
0.057012543,0,0.057012543,7.212086659,6.071835804,4.817559863,0,0,0.712656784,60.91790194,18.58608894,1.083238312,0.057012543,0.028506271,0.399087799
0.233918129,0,0,0.701754386,16.08187135,8.362573099,0,0,0,34.09356725,34.79532164,5.321637427,0,0.058479532,0.350877193
0,0,0,0.383561644,6.465753425,15.61643836,0,0,0.054794521,18.35616438,30.46575342,28.65753425,0,0,0
0,0,0,0,5.578800558,16.31799163,0,0,0,11.0181311,13.11018131,53.9748954,0,0,0
0,0,0,0,2.57330326,20.74020914,0,0,0,1.281525528,7.648144351,67.75681772,0,0,0
